datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;geographic_reference;geographic_reference_auto;territory;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;shared_catalog;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
route-du-rhum-2014-implantation-des-bateaux-dans-le-port-de-saint-malo;ROUTE DU RHUM 2014 - Implantation des bateaux dans le port de Saint-Malo;<p>Implantation géographique des bateaux concurrents, sur les pontons et les quais des bassins intérieurs du port de Saint-Malo, lors de la Route du Rhum 2014.</p><p>Les fichiers sont fournis en date du 7 octobre 2014. En fonction des inscriptions définitives et des résultats des qualifications, l'implantation peut varier jusqu'à la date du départ, le 2 novembre 2014.</p>;Sport, Loisirs;voile, sport, port, course, rhum, transatlantique, compétition;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2014-10-17 10:10:33+00:00;;;2017-12-30 15:26:25+00:00;2017-12-30 15:26:26+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/route-du-rhum-2014-implantation-des-bateaux-dans-le-port-de-saint-malo/;91;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
points-dapport-volontaire-shp;Points d'Apport Volontaire;<p>Localisation géographique des points d'apport volontaire, avec identification de la commune et du type de point (colonne papier ou verre, en surface ou enterrée,...</p>;Environnement;dechets, verre, collecte;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:09:10+00:00;;;2017-12-30 15:30:50+00:00;2017-12-30 15:30:51+00:00;;;;SAINT-MALO AGGLOMERATION;https://www.data.gouv.fr/fr/datasets/points-dapport-volontaire-shp/;274;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32
emplacement-des-arrets-de-bus-du-reseau-transport-saint-malo-agglomeration;Emplacement des Arrêts de Bus du Réseau Transport Saint-Malo Agglomération;<p>Localisation géographique des arrêts de bus du réseau de transport urbain et péri-urbain sur le territoire de l’agglomération du Pays de Saint-Malo.</p>;Transports, Déplacements;reseau-de-transport, bus, arret, transport;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;;;2015-10-19 12:09:11+00:00;;;2017-12-30 15:30:58+00:00;2017-12-30 15:30:59+00:00;;;;SAINT-MALO AGGLOMERATION;https://www.data.gouv.fr/fr/datasets/emplacement-des-arrets-de-bus-du-reseau-transport-saint-malo-agglomeration-2/;273;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96
quartiers-de-saint-malo;Quartiers de Saint-Malo;<p>Délimitation des quartiers de Saint-Malo, avec indication d'autres informations :</p><ul><li>élus de quartiers</li><li>lieu de permanence (maisons de quartier)</li><li>horaires de permanence</li></ul>;Administration, Gouvernement, Finances publiques, Citoyenneté;quartier, élus;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:17:50+00:00;;;2017-12-30 17:47:23+00:00;2017-12-30 17:47:24+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/quartiers-de-saint-malo/;15;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43
plages-sans-tabac;Plages sans tabac;<p>Depuis 2013, sur certaines portions de plages malouines, il est interdit de fumer par arrêté municipal.</p><p>Cette interdiction est valable pendant toute la période de surveillance des plages, en juillet et aout de chaque année.</p>;Santé, Environnement;plage, littoral, tabac, santé;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-10-19 12:18:05+00:00;;;2017-12-30 17:46:57+00:00;2017-12-30 17:46:58+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/plages-sans-tabac/;3;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68
emplacement-des-stations-service-a-saint-malo;Emplacement des stations service à Saint-Malo;"<p>Liste et localisation des points de distribution de carburants (""stations service"") sur le territoire de la commune.</p><p>Le champ ""id"" associé à chaque station est celui utilisé par le Ministère de l'Economie, notamment sur le site <a href=""http://www.prix-carburants.gouv.fr"" target=""_blank"">http://www.prix-carburants.gouv.fr</a>.</p><p>La disponibilité de chaque type de carburant est indiqué par un code binaire (0/1)</p>";Transports, Déplacements;carburant;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:08+00:00;;;2017-12-30 15:28:52+00:00;2017-12-30 15:28:53+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/emplacement-des-stations-service-a-saint-malo-1/;8;Ministère de l'Economie, de l'Industrie et du Numérique;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
centrales-photovoltaiques-communales;Centrales photovoltaïques communales;Localisation et liste des centrales photovoltaïques installées sur des propriétés communales;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;photovoltaique, solaire, énergie, électricité, renouvelable;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:10+00:00;;;2017-12-30 17:46:45+00:00;2017-12-30 17:46:46+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/centrales-photovoltaiques-communales/;3;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
cimetieres-malouins;Cimetières malouins;"Localisation et emprise des 8 cimetières de Saint-Malo, et du crématorium.

La présence éventuelle d'un carré militaire est indiquée.";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;crématorium, cimetière;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:19+00:00;;;2017-12-30 17:46:29+00:00;2017-12-30 17:46:30+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/cimetieres-malouins/;9;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
index-des-rues;Index des rues;Liste des voies publiques, avec nom complet officiel et appartenance à l'un des 15 quartiers de Saint-Malo.;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;voirie, voie, rue;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:23+00:00;;;2017-12-30 15:28:48+00:00;2017-12-30 15:28:49+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/index-des-rues/;1205;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60
collecteurs-de-piles-et-batteries-usagees;Collecteurs de piles et batteries usagées;"Localisation des bacs de collecte pour les piles et petites batteries usagées, dans les bâtiments municipaux.
";Environnement;déchets, environnement, collecte;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:25+00:00;;;2017-12-30 15:26:49+00:00;2017-12-30 15:26:51+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/collecteurs-de-piles-et-batteries-usagees/;4;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
